a	あ
i	い
u	う
e	え
o	お
かa	か
かi	き
かu	く
かe	け
かo	こ
しa	さ
しi	し
しu	す
しe	せ
しo	そ
たa	た
たi	ち
たu	つ
たe	て
たo	と
んa	な
んi	に
んu	ぬ
んe	ね
んo	の
はa	は
はi	ひ
はu	ふ
はe	へ
はo	ほ
まa	ま
まi	み
まu	む
まe	め
まo	も
きa	や
きu	ゆ
きo	よ
るa	ら
るi	り
るu	る
るe	れ
るo	ろ
をa	わ
をi	うぃ
をe	うぇ
をo	を
をきi	ゐ
をきe	ゑ
がa	が
がi	ぎ
がu	ぐ
がe	げ
がo	ご
てa	ざ
てi	じ
てu	ず
てe	ぜ
てo	ぞ
でa	だ
でi	ぢ
でu	づ
でe	で
でo	ど
なa	ば
なi	び
なu	ぶ
なe	べ
なo	ぼ
こa	ぱ
こi	ぴ
こu	ぷ
こe	ぺ
こo	ぽ
かきa	きゃ
かきu	きゅ
かきe	きぇ
かきo	きょ
しきa	しゃ
しきu	しゅ
しきe	しぇ
しきo	しょ
しはa	しゃ
しはu	しゅ
しはe	しぇ
しはo	しょ
くはa	ちゃ
くはu	ちゅ
くはe	ちぇ
くはo	ちょ
たきa	ちゃ
たきu	ちゅ
たきe	ちぇ
たきo	ちょ
んきa	にゃ
んきu	にゅ
んきe	にぇ
んきo	にょ
はきa	ひゃ
はきu	ひゅ
はきe	ひぇ
はきo	ひょ
まきa	みゃ
まきu	みゅ
まきe	みぇ
まきo	みょ
るきa	りゃ
るきu	りゅ
るきe	りぇ
るきo	りょ
がきa	ぎゃ
がきu	ぎゅ
がきe	ぎぇ
がきo	ぎょ
てきa	じゃ
てきu	じゅ
てきe	じぇ
てきo	じょ
のa	じゃ
のu	じゅ
のe	じぇ
のo	じょ
なきa	びゃ
なきu	びゅ
なきe	びぇ
なきo	びょ
こきa	ぴゃ
こきu	ぴゅ
こきe	ぴぇ
こきo	ぴょ
かをa	くぁ
かをi	くぃ
かをe	くぇ
かをo	くぉ
たしa	つぁ
たしi	つぃ
たしe	つぇ
たしo	つぉ
とa	ふぁ
とi	ふぃ
とe	ふぇ
とo	ふぉ
がをa	ぐぁ
がをi	ぐぃ
がをe	ぐぇ
がをo	ぐぉ
できa	ぢゃ
できu	ぢゅ
できe	ぢぇ
できo	ぢょ
をはi	うぃ
をはe	うぇ
をはo	うぉ
たはi	てぃ
たはu	てゅ
たをu	とぅ
ではi	でぃ
ではu	でゅ
でをu	どぅ
のi	じ
とu	ふ
ときu	ふゅ
きe	いぇ
にa	ヴぁ
にi	ヴぃ
にu	ヴ
にe	ヴぇ
にo	ヴぉ
にきu	ヴゅ
っa	ぁ
っi	ぃ
っu	ぅ
っe	ぇ
っo	ぉ
っきa	ゃ
っきu	ゅ
っきo	ょ
っをa	ゎ
っかa	ヵ
っかe	ヶ
qwa	くゎ
n		ん
-	ー
[	「
]	」
.	。
,	、
/	・
w		を
r		る
t		た
y		き
s		し
d		で
g		が
h		は
k		か
m		ま
p		こ
f		と
j		の
l		す
z		て
x		っ
c		く
v		に
b		な
を;	を
る;	る
た;	た
き;	き
し;	し
で;	で
が;	が
は;	は
か;	か
ま;	ま
こ;	こ
と;	と
の;	の
す;	す
て;	て
っ;	っ
く;	く
に;	に
な;	な
ん;	ん
るq	るい
たq	たい
きq	きょ
しq	しょ
でq	であ
がq	がい
はq	はい
かq	かい
まq	まい
こq	こう
とq	とう
のq	のう
すq	すう
てq	てい
っq	っけ
くq	くう
にq	にゅ
なq	ない
q-	〜
q[	『
q]	』
qh	←
qj	↓
qk	↑
ql	→
q,	‥
q.	…
q/	・
